,idd,date1,country,cases
0,0,2020-01-22,Afghanistan,0
1,1,2020-01-23,Afghanistan,0
2,2,2020-01-24,Afghanistan,0
3,3,2020-01-25,Afghanistan,0
4,4,2020-01-26,Afghanistan,0
5,5,2020-01-27,Afghanistan,0
6,6,2020-01-28,Afghanistan,0
7,7,2020-01-29,Afghanistan,0
8,8,2020-01-30,Afghanistan,0
9,9,2020-01-31,Afghanistan,0
10,10,2020-02-01,Afghanistan,0
11,11,2020-02-02,Afghanistan,0
12,12,2020-02-03,Afghanistan,0
13,13,2020-02-04,Afghanistan,0
14,14,2020-02-05,Afghanistan,0
15,15,2020-02-06,Afghanistan,0
16,16,2020-02-07,Afghanistan,0
17,17,2020-02-08,Afghanistan,0
18,18,2020-02-09,Afghanistan,0
19,19,2020-02-10,Afghanistan,0
20,20,2020-02-11,Afghanistan,0
21,21,2020-02-12,Afghanistan,0
22,22,2020-02-13,Afghanistan,0
23,23,2020-02-14,Afghanistan,0
24,24,2020-02-15,Afghanistan,0
25,25,2020-02-16,Afghanistan,0
26,26,2020-02-17,Afghanistan,0
27,27,2020-02-18,Afghanistan,0
28,28,2020-02-19,Afghanistan,0
29,29,2020-02-20,Afghanistan,0
30,30,2020-02-21,Afghanistan,0
31,31,2020-02-22,Afghanistan,0
32,32,2020-02-23,Afghanistan,0
33,33,2020-02-24,Afghanistan,1
34,34,2020-02-25,Afghanistan,1
35,35,2020-02-26,Afghanistan,1
36,36,2020-02-27,Afghanistan,1
37,37,2020-02-28,Afghanistan,1
38,38,2020-02-29,Afghanistan,1
39,39,2020-03-01,Afghanistan,1
40,40,2020-03-02,Afghanistan,1
41,41,2020-03-03,Afghanistan,1
42,42,2020-03-04,Afghanistan,1
43,43,2020-03-05,Afghanistan,1
44,44,2020-03-06,Afghanistan,1
45,45,2020-03-07,Afghanistan,1
46,46,2020-03-08,Afghanistan,4
47,47,2020-03-09,Afghanistan,4
48,48,2020-03-10,Afghanistan,5
49,49,2020-03-11,Afghanistan,7
50,50,2020-03-12,Afghanistan,7
51,51,2020-03-13,Afghanistan,7
52,52,2020-03-14,Afghanistan,11
53,53,2020-03-15,Afghanistan,16
54,54,2020-03-16,Afghanistan,21
55,55,2020-03-17,Afghanistan,22
