,date1,country,cases
0,1/22/20,Afghanistan,0
1,1/23/20,Afghanistan,0
2,1/24/20,Afghanistan,0
3,1/25/20,Afghanistan,0
4,1/26/20,Afghanistan,0
5,1/27/20,Afghanistan,0
6,1/28/20,Afghanistan,0
7,1/29/20,Afghanistan,0
8,1/30/20,Afghanistan,0
9,1/31/20,Afghanistan,0
10,2/1/20,Afghanistan,0
11,2/2/20,Afghanistan,0
12,2/3/20,Afghanistan,0
13,2/4/20,Afghanistan,0
14,2/5/20,Afghanistan,0
15,2/6/20,Afghanistan,0
16,2/7/20,Afghanistan,0
17,2/8/20,Afghanistan,0
18,2/9/20,Afghanistan,0
19,2/10/20,Afghanistan,0
20,2/11/20,Afghanistan,0
21,2/12/20,Afghanistan,0
22,2/13/20,Afghanistan,0
23,2/14/20,Afghanistan,0
24,2/15/20,Afghanistan,0
25,2/16/20,Afghanistan,0
26,2/17/20,Afghanistan,0
27,2/18/20,Afghanistan,0
28,2/19/20,Afghanistan,0
29,2/20/20,Afghanistan,0
30,2/21/20,Afghanistan,0
31,2/22/20,Afghanistan,0
32,2/23/20,Afghanistan,0
33,2/24/20,Afghanistan,1
34,2/25/20,Afghanistan,1
35,2/26/20,Afghanistan,1
36,2/27/20,Afghanistan,1
37,2/28/20,Afghanistan,1
38,2/29/20,Afghanistan,1
39,3/1/20,Afghanistan,1
40,3/2/20,Afghanistan,1
41,3/3/20,Afghanistan,1
42,3/4/20,Afghanistan,1
43,3/5/20,Afghanistan,1
44,3/6/20,Afghanistan,1
45,3/7/20,Afghanistan,1
46,3/8/20,Afghanistan,4
47,3/9/20,Afghanistan,4
48,3/10/20,Afghanistan,5
49,3/11/20,Afghanistan,7
50,3/12/20,Afghanistan,7
51,3/13/20,Afghanistan,7
52,3/14/20,Afghanistan,11
53,3/15/20,Afghanistan,16
54,3/16/20,Afghanistan,21
55,3/17/20,Afghanistan,22
56,3/18/20,Afghanistan,22
57,3/19/20,Afghanistan,22
58,3/20/20,Afghanistan,24
59,3/21/20,Afghanistan,24
60,3/22/20,Afghanistan,40
61,3/23/20,Afghanistan,40
62,3/24/20,Afghanistan,74
63,3/25/20,Afghanistan,84
64,3/26/20,Afghanistan,94
65,3/27/20,Afghanistan,110
66,3/28/20,Afghanistan,110
67,3/29/20,Afghanistan,120
68,3/30/20,Afghanistan,170
69,3/31/20,Afghanistan,174
70,4/1/20,Afghanistan,237
71,4/2/20,Afghanistan,273
72,4/3/20,Afghanistan,281
73,4/4/20,Afghanistan,299
74,4/5/20,Afghanistan,349
75,4/6/20,Afghanistan,367
76,4/7/20,Afghanistan,423
77,4/8/20,Afghanistan,444
78,4/9/20,Afghanistan,484
79,4/10/20,Afghanistan,521
80,4/11/20,Afghanistan,555
81,4/12/20,Afghanistan,607
82,4/13/20,Afghanistan,665
83,4/14/20,Afghanistan,714
84,4/15/20,Afghanistan,784
85,4/16/20,Afghanistan,840
86,4/17/20,Afghanistan,906
87,4/18/20,Afghanistan,933
88,4/19/20,Afghanistan,996
89,4/20/20,Afghanistan,1026
90,4/21/20,Afghanistan,1092
91,4/22/20,Afghanistan,1176
92,4/23/20,Afghanistan,1279
93,4/24/20,Afghanistan,1351
